id,GEOID,name,NIC08,PCTUI08,PCTIC08,NUI08,NUI15,NIC15,PCTUI15,PCTIC15,NUI_Change
01001,1001,"Autauga County, AL",26367,15.8,84.2,4933,4102,29540,12.2,87.8,831
01003,1003,"Baldwin County, AL",83309,19.5,80.5,20234,17437,101022,14.7,85.3,2797
01005,1005,"Barbour County, AL",12502,21.6,78.4,3444,2289,10865,17.4,82.6,1155
01007,1007,"Bibb County, AL",9780,21.7,78.3,2706,1890,10651,15.1,84.9,816
01009,1009,"Blount County, AL",27052,23.4,76.6,8245,6040,28086,17.7,82.3,2205
01011,1011,"Bullock County, AL",4222,23.6,76.4,1303,1015,4285,19.2,80.8,288
01013,1013,"Butler County, AL",9561,20.5,79.5,2462,1876,9820,16,84,586
01015,1015,"Calhoun County, AL",55337,18.7,81.3,12739,10078,59356,14.5,85.5,2661
01017,1017,"Chambers County, AL",16386,20.6,79.4,4251,3463,16951,17,83,788
01019,1019,"Cherokee County, AL",11700,20.3,79.7,2981,2201,12828,14.6,85.4,780
01021,1021,"Chilton County, AL",20397,22.7,77.3,6006,5122,21184,19.5,80.5,884
01023,1023,"Choctaw County, AL",6771,19.2,80.8,1605,1126,6547,14.7,85.3,479
01025,1025,"Clarke County, AL",12349,20.2,79.8,3119,2346,12253,16.1,83.9,773
01027,1027,"Clay County, AL",6672,19.5,80.5,1619,1420,6471,18,82,199
01029,1029,"Cleburne County, AL",7175,21.1,78.9,1921,1342,7330,15.5,84.5,579
01031,1031,"Coffee County, AL",23651,18.4,81.6,5347,4667,25873,15.3,84.7,680
01033,1033,"Colbert County, AL",27162,18.5,81.5,6173,4318,28010,13.4,86.6,1855
01035,1035,"Conecuh County, AL",6404,18.3,81.7,1432,1371,5902,18.9,81.1,61
01037,1037,"Coosa County, AL",5532,18.1,81.9,1223,1065,5492,16.2,83.8,158
01039,1039,"Covington County, AL",17259,19.7,80.3,4225,3437,18378,15.8,84.2,788
01041,1041,"Crenshaw County, AL",6484,21.9,78.1,1818,1343,6924,16.2,83.8,475
01043,1043,"Cullman County, AL",39031,21.6,78.4,10758,8784,39730,18.1,81.9,1974
01045,1045,"Dale County, AL",22923,17,83,4683,4393,25176,14.9,85.1,290
01047,1047,"Dallas County, AL",20107,18.9,81.1,4681,3888,20102,16.2,83.8,793
01049,1049,"DeKalb County, AL",31392,24.4,75.6,10151,9674,32438,23,77,477
01051,1051,"Elmore County, AL",36194,18.5,81.5,8204,5545,40776,12,88,2659
01053,1053,"Escambia County, AL",16309,24.4,75.6,5263,4085,15936,20.4,79.6,1178
01055,1055,"Etowah County, AL",49761,20,80,12468,9350,51795,15.3,84.7,3118
01057,1057,"Fayette County, AL",8595,19.4,80.6,2074,1473,8241,15.2,84.8,601
01059,1059,"Franklin County, AL",14114,23.2,76.8,4274,3993,14768,21.3,78.7,281
01061,1061,"Geneva County, AL",12449,21.3,78.7,3363,3144,12426,20.2,79.8,219
01063,1063,"Greene County, AL",4300,19.2,80.8,1022,777,4175,15.7,84.3,245
01065,1065,"Hale County, AL",8154,20.7,79.3,2131,1373,7445,15.6,84.4,758
01067,1067,"Henry County, AL",8116,19.5,80.5,1965,1674,8213,16.9,83.1,291
01069,1069,"Houston County, AL",47793,18.5,81.5,10828,9439,52568,15.2,84.8,1389
01071,1071,"Jackson County, AL",26379,19.2,80.8,6272,5476,25623,17.6,82.4,796
01073,1073,"Jefferson County, AL",333947,16.9,83.1,67921,57780,343353,14.4,85.6,10141
01075,1075,"Lamar County, AL",7014,19.8,80.2,1737,1239,6721,15.6,84.4,498
01077,1077,"Lauderdale County, AL",43949,18.5,81.5,9992,7786,47450,14.1,85.9,2206
01079,1079,"Lawrence County, AL",17404,19.7,80.3,4275,3432,16704,17,83,843
01081,1081,"Lee County, AL",74602,14.8,85.2,12908,14711,87769,14.4,85.6,-1803
01083,1083,"Limestone County, AL",37851,18.4,81.6,8520,8545,46395,15.6,84.4,-25
01085,1085,"Lowndes County, AL",6185,19.2,80.8,1473,949,5232,15.4,84.6,524
01087,1087,"Macon County, AL",9980,17.4,82.6,2106,1456,9300,13.5,86.5,650
01089,1089,"Madison County, AL",164763,15.7,84.3,30635,28451,189542,13.1,86.9,2184
01091,1091,"Marengo County, AL",10242,18,82,2248,1601,9902,13.9,86.1,647
01093,1093,"Marion County, AL",13899,19.6,80.4,3393,2873,14345,16.7,83.3,520
01095,1095,"Marshall County, AL",40079,23.5,76.5,12307,11167,44228,20.2,79.8,1140
01097,1097,"Mobile County, AL",194631,20.4,79.6,49978,42630,207210,17.1,82.9,7348
01099,1099,"Monroe County, AL",10873,19.7,80.3,2670,2318,10422,18.2,81.8,352
01101,1101,"Montgomery County, AL",109131,15.9,84.1,20558,21380,112103,16,84,-822
01103,1103,"Morgan County, AL",57289,19.1,80.9,13526,12555,58738,17.6,82.4,971
01105,1105,"Perry County, AL",4413,20.8,79.2,1159,850,4293,16.5,83.5,309
01107,1107,"Pickens County, AL",9208,20.1,79.9,2319,1750,9322,15.8,84.2,569
01109,1109,"Pike County, AL",14542,19.7,80.3,3578,3449,16757,17.1,82.9,129
01111,1111,"Randolph County, AL",10335,22,78,2922,2295,10761,17.6,82.4,627
01113,1113,"Russell County, AL",23726,21.3,78.7,6429,5554,30998,15.2,84.8,875
01115,1115,"St. Clair County, AL",39620,19.2,80.8,9431,7699,44134,14.9,85.1,1732
01117,1117,"Shelby County, AL",104204,12.3,87.7,14657,13630,114268,10.7,89.3,1027
01119,1119,"Sumter County, AL",6258,19.4,80.6,1506,1192,6538,15.4,84.6,314
01121,1121,"Talladega County, AL",39125,17.6,82.4,8372,6909,40834,14.5,85.5,1463
01123,1123,"Tallapoosa County, AL",19649,18,82,4317,3645,20252,15.3,84.7,672
01125,1125,"Tuscaloosa County, AL",92237,16.1,83.9,17715,15550,112182,12.2,87.8,2165
01127,1127,"Walker County, AL",33170,20.5,79.5,8537,6385,32125,16.6,83.4,2152
01129,1129,"Washington County, AL",8488,18.8,81.2,1963,1526,8514,15.2,84.8,437
01131,1131,"Wilcox County, AL",5657,22.4,77.6,1628,996,5274,15.9,84.1,632
01133,1133,"Winston County, AL",11770,20.5,79.5,3038,2234,11703,16,84,804
