Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Trade
Afghanistan,,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,Import
Albania,,,,2,,7,,5,,,,,15,7,7,7,,Import
Algeria,408,542,249,195,242,159,340,509,1529,1075,834,1126,807,302,438,883,2882,Import
Angola,147,156,148,48,8,39,7,31,29,20,,,,31,2,49,48,Import
Argentina,213,6,16,12,169,3,9,24,23,11,11,15,3,12,7,20,19,Import
Armenia,,,,,118,,,1,,46,52,5,,16,,,79,Import
Australia,338,1236,663,801,472,459,727,677,445,775,1509,1567,876,244,927,1529,1060,Import
Austria,25,15,69,42,55,23,4,269,190,286,7,8,8,6,2,,13,Import
Azerbaijan,3,,89,,4,53,159,213,33,145,155,557,339,398,601,338,257,Import
Bahamas,33,,,,,3,,,,1,,,,,30,22,26,Import
Bahrain,299,30,54,1,10,66,63,26,20,,103,1,26,72,1,17,7,Import
Bangladesh,203,266,41,8,32,10,221,88,13,,35,137,206,662,201,625,438,Import
Barbados,,,,,,,,10,10,10,,,,,,,,Import
Belarus,,,,,,6,140,,,3,,75,75,75,60,96,190,Import
Belgium,35,29,56,21,15,3,27,174,203,90,32,21,32,46,103,56,4,Import
Belize,1,,,,,,,,,,,,,,,,,Import
Benin,,,7,,,,,3,,1,0,0,20,2,,,,Import
Bhutan,,,,,0,,,,,,,,,,,1,1,Import
Bolivia,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,Import
Botswana,53,15,1,9,8,,,,,13,10,,6,8,,,3,Import
Brazil,122,631,223,110,86,224,179,189,179,156,317,312,311,223,228,230,125,Import
Brunei,,4,1,0,0,1,2,,,33,33,229,22,15,122,36,,Import
Bulgaria,,,,2,12,132,22,48,116,119,8,29,5,,,3,,Import
Burkina Faso,,,,,,12,1,4,,2,0,15,4,,5,,6,Import
Burundi,,1,3,,,,,,,1,2,,5,,,1,2,Import
Cambodia,,,,,,,14,56,,4,34,,77,67,,,,Import
Cameroon,,7,6,,,5,2,,1,,10,,,133,130,7,11,Import
Canada,570,538,428,152,352,124,104,455,407,101,228,344,205,194,316,413,258,Import
Cape Verde,1,,,,,,,,,2,,,10,,,,,Import
Central African Republic,,,,,,,9,,0,,,7,,,,,,Import
Chad,,16,,,,,17,20,75,35,38,1,4,59,58,,,Import
Chile,202,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,39,Import
China,2552,2850,2891,2373,3316,3558,2900,1692,1892,1407,1045,1128,1703,1390,1151,1143,993,Import
Colombia,60,276,171,147,18,16,52,230,110,248,255,145,207,164,190,207,29,Import
Comoros,,,,,,,,,6,,,,1,,,,,Import
Congo,0,,,,,4,1,0,,1,27,,23,12,13,2,,Import
Costa Rica,,,,,,,,,,,,,1,,1,,,Import
Cote d'Ivoire,0,,32,61,9,,,,,,,,,,6,6,6,Import
Croatia,,57,2,24,8,,,19,99,4,10,17,17,,63,11,32,Import
Cyprus,4,115,1,6,16,20,26,17,,,44,41,6,,,,,Import
Czech Republic,14,65,47,97,7,593,45,10,23,6,13,71,22,15,,0,,Import
Denmark,50,153,51,54,228,120,83,146,96,130,17,,109,42,177,46,95,Import
Djibouti,1,,3,,4,7,,,,,,,6,5,14,1,19,Import
Dominican Republic,13,5,0,8,35,2,,,,10,51,12,,,,1,0,Import
DR Congo,88,15,12,,,19,17,,18,41,151,,10,1,,1,86,Import
Ecuador,,10,1,,15,48,17,2,102,77,90,68,88,11,53,27,26,Import
Egypt,837,847,719,630,654,778,702,675,333,159,686,630,281,675,360,1404,1483,Import
El Salvador,,,19,10,,,,,4,,,,2,,20,,,Import
Equatorial Guinea,,7,,,7,12,,28,30,68,3,82,65,2,92,,14,Import
Eritrea,20,57,18,17,80,98,,4,,,,,,,,,,Import
Estonia,27,,1,13,8,20,7,19,29,43,13,1,2,18,2,18,27,Import
Ethiopia,140,,20,174,239,,,,,,54,76,193,153,33,10,5,Import
Finland,474,9,12,227,77,107,136,108,135,42,50,58,76,320,196,288,202,Import
France,107,66,43,57,93,2,67,74,5,76,103,33,91,107,17,42,45,Import
Gabon,,,,,6,,20,18,,,22,5,1,2,,2,2,Import
Gambia,,,,,5,,,,,16,,,,,,,,Import
Georgia,6,85,,1,37,92,97,155,91,36,,2,,5,1,,16,Import
Germany,113,133,71,64,239,204,416,82,293,339,283,84,157,113,114,101,38,Import
Ghana,1,12,1,6,35,0,0,16,,11,2,76,39,63,14,13,14,Import
Greece,708,787,400,2274,1368,405,731,1712,516,1229,652,80,37,52,199,763,318,Import
Guatemala,,,,,,,,,0,,,,2,,,33,,Import
Guinea,18,6,,2,,1,,0,,,4,1,4,,5,,,Import
Guyana,,7,3,,,,,,0,,,,,,,,,Import
Hamas,,,,,,,,,,,1,2,,,0,,,Import
Hezbollah,0,0,3,0,1,0,9,,,20,20,,,,,,,Import
Honduras,,,,,,,,,0,,,0,0,20,13,6,1,Import
Hungary,14,14,,,72,13,253,196,5,4,18,9,,2,7,,17,Import
Iceland,,,,,,,,,,,,50,,,,,,Import
India,995,1200,2031,2758,2220,1201,1520,2299,1878,1909,2997,3666,4465,5170,3199,2858,2547,Import
Indonesia,151,27,68,356,79,36,65,587,244,441,225,250,218,802,1124,441,382,Import
Iran,418,524,435,282,121,57,423,331,62,62,103,100,46,31,13,13,374,Import
Iraq,,,,,71,186,312,275,378,398,434,574,476,353,632,1403,1734,Import
Ireland,0,45,22,,19,5,13,19,22,0,5,2,1,,40,43,43,Import
Israel,368,131,349,189,852,1133,1122,862,676,153,67,85,120,153,510,672,607,Import
Italy,241,221,243,559,446,162,433,525,224,113,115,298,219,91,145,294,868,Import
Jamaica,,,,,,10,10,13,2,,1,,,1,,2,22,Import
Japan,493,444,446,483,403,398,479,517,681,613,394,306,244,298,313,351,330,Import
Jordan,133,160,132,281,168,49,48,176,161,234,87,215,176,75,196,236,196,Import
Kazakhstan,121,139,20,,47,42,44,82,25,39,58,62,94,141,99,422,225,Import
Kenya,15,,,,,,,10,,34,112,14,61,1,17,30,28,Import
Kosovo,,,,,,,,,,,,,,,1,,,Import
Kuwait,245,67,23,45,2,12,5,279,5,9,85,113,31,73,692,359,194,Import
Kyrgyzstan,,,,9,5,3,2,,,,,,,,,4,9,Import
Laos,7,36,,0,,4,,,7,26,,14,19,19,,7,,Import
Latvia,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,40,Import
Lebanon,4,,,,,1,,5,1,52,64,1,31,24,6,50,31,Import
Lesotho,,6,,,1,,1,,,,,,,,,,,Import
Liberia,8,,,,,,,,,,,,,,,,,Import
Libya,,,,,,1,16,16,16,31,29,8,73,120,17,44,9,Import
Lithuania,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,21,20,Import
Luxembourg,,,,1,,,,,,7,7,,1,,,,,Import
Macedonia,14,112,,,,,0,,,,,,,1,,,,Import
Madagascar,,,,,,,,,,0,,,,0,,,,Import
Malawi,,,,,,,,,3,,,,1,2,2,2,1,Import
Malaysia,26,26,154,147,65,59,408,526,508,1512,421,5,47,71,73,117,273,Import
Maldives,,,,,,,15,,,,5,,,5,,,5,Import
