DISTRICT,XBLOCK,YBLOCK
1,400436,135043
5,399351,137531
4,397868,141140
4,397589,142968
6,405973,134269
3,397083,140096
4,396839,140889
4,397264,142778
2,396307,137533
2,392734,141390
6,404451,136157
4,398905,143187
5,401822,137058
6,404370,136293
3,397969,140269
1,398186,137185
2,397002,138017
2,395283,136682
2,394257,142538
7,400055,132973
3,397498,140312
3,397162,140182
4,397698,146150
5,399824,138591
1,400735,135618
2,395708,136984
3,397826,138634
3,398080,139773
1,398272,136943
6,404167,135943
1,400734,136696
2,394743,138071
2,393039,142375
3,397564,137917
4,398495,142115
4,397104,144615
5,401302,137158
7,402196,131449
1,401302,135070
5,401498,138734
6,404370,136293
3,397529,139979
3,397056,139838
2,396029,137321
4,398477,143384
4,399391,141903
3,396731,139353
5,399695,137774
4,399348,143959
4,398728,139835
3,398306,139262
3,398006,139949
5,402414,138550
3,397228,138674
7,399452,128889
7,400914,132646
1,397919,137069
5,400761,140829
6,405327,135921
6,406004,134532
7,402363,130873
5,398946,139092
3,398101,138793
5,400643,140453
6,403779,136044
2,396479,136817
1,399272,136594
4,397884,141009
4,396165,141933
4,397627,146359
3,397917,137450
2,396233,138511
3,397855,140120
5,399759,138303
3,397564,138552
1,399385,134294
3,397044,139950
3,397655,138713
1,397610,137008
7,400331,129143
7,402486,131539
6,407132,136008
1,400808,135222.48
6,406810,136900
6,406438,135644
4,396294,140397
5,399271,138550
7,401901,133068
6,406683,137294
1,400384,137052
2,392990,142227
5,403053,140739
6,404370,136293
5,400436,140334
1,399823,136856
7,401391,132595
3,397877,137976
4,397603,144181
5,400594,139371
5,401973,136243
3,397430,138674
7,402985,131495
6,402423,134032
2,395766,137407
7,401950,132982
6,404176,135699
4,397991,143161
3,397423,139708
2,393794,139161
1,400846,134967
4,396839,140889
6,405820,136128
5,399887,138915
4,396661,146746
5,400956,139514
6,405591,134984
1,398098,136808
1,398413,137185
3,397920,137620
6,405450,137846
4,397323,140549
3,398010,138551
6,406367,135771
7,402223,132166
7,402437,133500
3,397162,140182
5,399074,137856
5,402325,141157
4,397562,142025
6,405423,134960
5,402061,141345
1,400638,136989
5,400937,139620
4,396804,139957
4,399890,143127
5,403053,140739
4,398599,144050
4,397243,140420
3,396919,138634
