year,    Alabama,    Alaska,    Arizona,    Arkansas,    California,    Colorado,    Connecticut,    Delaware,    Florida,    Georgia,    Hawaii,    Idaho,    Illinois,    Indiana,    Iowa,    Kansas,    Kentucky,    Louisiana,    Maine,    Maryland,    Massachusetts,    Michigan,    Minnesota,    Mississippi,    Missouri,    Montana,    Nebraska,    Nevada,    New Hampshire,    New Jersey,    New Mexico,    New York,    North Carolina,    North Dakota,    Ohio,    Oklahoma,    Oregon,    Pennsylvania,    Rhode Island,    South Carolina,    South Dakota,    Tennessee,    Texas,    Utah,    Vermont,    Virginia,    Washington,    West Virginia,    Wisconsin,    Wyoming,United States
1989,343,145,441,292,1026,277,544,333,661,553,78,215,426,125,121,216,341,387,188,745,413,337,160,208,319,115,256,626,253,886,319,758,421,91,255,333,430,257,387,461,52,230,423,248,56,331,271,90,203,176,488
1990,190,105,383,257,844,227,599,334,596,500,325,175,392,110,117,241,330,320,190,599,212,298,125,177,269,130,254,559,165,600,226,687,395,66,230,284,346,235,281,430,61,241,368,191,35,286,220,88,193,121,418
1991,148,117,403,271,709,228,363,368,563,387,291,183,413,99,0,260,384,230,144,577,280,289,104,159,239,39,270,537,150,522,178,601,410,22,242,256,336,265,241,0,64,296,364,202,28,284,203,104,194,101,379
1992,217,150,437,307,767,261,485,349,546,500,339,182,435,118,75,311,560,382,215,609,294,300,117,197,281,52,302,549,183,533,196,596,442,55,257,292,369,261,313,221,133,256,412,240,21,313,225,111,234,131,414
1994,294,276,607,395,911,475,607,294,635,571,333,322,295,224,194,270,449,511,258,794,410,356,300,567,430,120,345,840,292,635,402,761,465,111,376,398,499,313,397,540,243,444,484,520,76,396,417,147,346,266,517
1995,291,370,696,478,884,470,651,339,680,602,322,484,754,288,270,280,660,578,282,923,467,391,349,708,488,70,435,832,0,697,556,882,499,103,407,448,589,319,422,616,336,522,508,585,87,464,469,198,410,349,581
1996,338,297,519,453,761,448,615,321,437,509,287,326,743,290,276,265,504,578,318,689,396,375,314,591,505,71,418,447,287,667,540,870,449,146,420,416,490,274,378,533,313,473,433,509,23,425,418,240,397,327,516
1997,363,432,570,487,829,413,607,350,430,601,325,374,791,325,330,257,458,641,333,734,423,373,288,653,579,239,538,522,259,710,417,902,521,164,437,499,504,295,401,580,364,501,472,563,0,420,455,234,401,389,550
1998,393,429,584,537,781,399,602,390,848,679,261,395,750,376,335,260,525,644,355,770,369,391,452,719,594,57,504,546,359,693,409,1009,528,208,417,578,452,382,430,617,368,517,487,420,113,431,484,234,399,462,587
1999,379,263,581,562,751,503,502,420,1409,604,247,394,891,406,333,261,585,762,360,805,316,365,445,760,570,53,541,531,347,648,400,988,498,205,331,567,396,407,418,619,404,466,514,395,217,386,452,195,399,482,614
2000,393,235,630,529,743,471,460,623,789,605,247,418,933,399,339,272,451,685,404,784,323,370,477,718,560,107,591,513,394,655,294,1077,502,212,440,641,534,422,413,645,406,449,514,391,219,362,498,208,404,470,591
2001,389,220,599,540,736,450,470,363,825,596,250,406,906,404,312,367,605,720,398,995,322,377,257,655,639,87,651,499,469,634,440,933,488,229,322,634,485,456,418,533,406,418,503,409,232,356,508,159,105,557,572
2002,383,225,597,504,761,411,449,411,822,581,257,433,848,400,366,256,775,735,382,975,313,356,286,713,712,120,693,478,404,652,404,515,522,229,290,641,474,446,405,646,408,422,493,415,256,369,487,162,490,561,554
2009,416,174,559,442,682,358,456,644,777,566,206,377,747,467,291,348,605,816,444,899,193,362,331,722,625,160,555,647,430,609,419,888,442,293,370,562,435,431,405,626,424,653,583,414,223,412,390,485,446,503,566
2010,190,235,510,469,672,339,451,605,754,515,206,425,858,451,320,402,474,800,447,821,191,364,330,644,610,174,559,668,393,566,469,900,411,305,345,533,471,449,362,673,428,673,552,404,196,435,369,431,458,556,556
2011,168,263,499,391,517,328,364,579,693,471,204,452,821,443,322,377,519,727,424,753,179,338,334,590,620,188,578,637,410,534,442,801,467,361,324,456,532,439,341,613,502,676,526,401,197,461,379,425,449,584,515
2012,143,228,388,370,509,276,251,557,680,457,175,376,815,373,269,333,487,675,379,648,193,310,320,585,573,182,505,513,311,542,381,839,410,379,304,427,461,413,309,587,465,674,489,406,216,448,205,473,416,481,487
2013,49,171,483,441,616,272,255,690,671,519,223,475,826,351,311,369,512,564,437,755,183,354,361,590,597,228,667,465,513,628,342,338,426,598,386,490,561,466,182,679,715,668,559,541,113,476,179,450,452,660,497
2014,189,211,495,413,585,251,265,708,650,509,218,487,794,337,328,387,522,713,422,759,191,365,359,546,627,211,580,475,423,611,376,353,417,507,363,459,582,459,213,642,709,749,551,504,190,512,187,428,456,657,495
